env_ID, Q_1, Q_2, Q_3, Q_4, Q_5, Q_6, Q_7, Q_8
PESC_1, 2, -1, 2, 2, 1, -3, 0, 1
PENSC_1, 1, -5, 0, 1, 1, -5, 0, 1
NOPSC_1, 1, -5, 0, 1, 1, -5, 0, 1
NOPNSC_1, 1, -5, 0, 1, 1, -5, 0, 1

